"id_prod","PUNTO DE VENTA","TIPO PRODUCTO","MARCA","MODELO","COLOR","TECNOLOGIA","MEMORIA INTERNA","MEMORIA RAM","TECNOLOGIA SIM","TIPO PROCESADOR","DETALLE TECNICO","DISPOSITIVO DESTINO","TIPO ACCESORIO","MATERIA","VOLTAJE","TIPO CONEXION","RUTA CAPTURA","d_extension_captura","v_peso_captura","d_dimension_captura"
"66","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","LURIN","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"70","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
"70","LURIN","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
"70","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
"70","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
"70","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
"70","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
"69","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","512 GB","12 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050535_K-20260826131540.jpg","jpg","48439.0000","width: 663 x height: 797"
"69","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","512 GB","12 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050535_K-20260826131540.jpg","jpg","48439.0000","width: 663 x height: 797"
"69","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","512 GB","12 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050535_K-20260826131540.jpg","jpg","48439.0000","width: 663 x height: 797"
"69","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","512 GB","12 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050535_K-20260826131540.jpg","jpg","48439.0000","width: 663 x height: 797"
"66","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","LURIN","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"61","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"61","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"61","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"61","LURIN","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
